num_vertices,rec_param,alg_sol_cost,minmax_sol_cost,experiment_num,alg_eval_cost,minmax_eval_cost
285,0,802526.4724018357,827347.5075784368,1,754089.8810703779,777769.5356365555
285,0,802526.4724018357,827347.5075784368,2,758458.8380435433,783197.9615613755
285,0,802526.4724018357,827347.5075784368,3,757159.7309459222,781293.9285950847
285,0,802526.4724018357,827347.5075784368,4,755106.8354718965,778792.1506754166
285,0,802526.4724018357,827347.5075784368,5,756877.5951770826,780812.6571159534
285,0,802526.4724018357,827347.5075784368,6,755647.198342804,779698.4436084711
285,0,802526.4724018357,827347.5075784368,7,754387.0432862195,776698.0647721521
285,0,802526.4724018357,827347.5075784368,8,754495.8115580176,777112.2188803783
285,0,802526.4724018357,827347.5075784368,9,758523.0092004733,783113.6400418163
285,0,802526.4724018357,827347.5075784368,10,758898.5007690068,782142.6828048138
285,16,802526.4724018357,827347.5075784368,1,756373.9176748695,781611.9337618465
285,16,802526.4724018357,827347.5075784368,2,754013.4418185768,777596.5488889755
285,16,802526.4724018357,827347.5075784368,3,757853.5016503246,782643.3994383359
285,16,802526.4724018357,827347.5075784368,4,757476.6405789327,781057.3777641046
285,16,802526.4724018357,827347.5075784368,5,756375.8235286288,781327.0230104959
285,16,802526.4724018357,827347.5075784368,6,754042.9236717791,780206.8502451022
285,16,802526.4724018357,827347.5075784368,7,758084.3166762588,782003.4064318101
285,16,802526.4724018357,827347.5075784368,8,752532.3695174307,776197.4567488742
285,16,802526.4724018357,827347.5075784368,9,757754.4301786469,783511.6219063661
285,16,802526.4724018357,827347.5075784368,10,756994.8554410003,780667.9988089056
285,32,802526.4724018357,827347.5075784368,1,756533.4002975376,780574.8080087523
285,32,802526.4724018357,827347.5075784368,2,761657.8799597587,786411.9135896626
285,32,802526.4724018357,827347.5075784368,3,756586.173270605,781464.1967785117
285,32,802526.4724018357,827347.5075784368,4,759780.6887470338,783973.2365203536
285,32,802526.4724018357,827347.5075784368,5,754321.054230639,778828.4613936722
285,32,802526.4724018357,827347.5075784368,6,754085.2539511728,779347.6757550932
285,32,802526.4724018357,827347.5075784368,7,754936.203119949,778306.9600892562
285,32,802526.4724018357,827347.5075784368,8,755035.7039259118,781282.4704784304
285,32,802526.4724018357,827347.5075784368,9,755017.9087785411,779885.5725252123
285,32,802526.4724018357,827347.5075784368,10,754937.0221736003,780252.7936477712
285,82,802526.4724018357,827347.5075784368,1,757623.2769748509,783956.9192755789
285,82,802526.4724018357,827347.5075784368,2,758652.8555703885,782138.7235049768
285,82,802526.4724018357,827347.5075784368,3,759414.9555087809,784003.2879716203
285,82,802526.4724018357,827347.5075784368,4,752702.6210449524,776102.1852683816
285,82,802526.4724018357,827347.5075784368,5,756107.8073743526,779067.864735024
285,82,802526.4724018357,827347.5075784368,6,755635.9552258136,779951.190559746
285,82,802526.4724018357,827347.5075784368,7,756572.3585924145,780465.3489852459
285,82,802526.4724018357,827347.5075784368,8,758844.63937423,782614.7528115304
285,82,802526.4724018357,827347.5075784368,9,756360.8390376224,781421.4875624218
285,82,802526.4724018357,827347.5075784368,10,755873.29970259,779976.3342100997
285,164,802526.4724018357,827347.5075784368,1,753306.1743710594,776382.1564427364
285,164,802526.4724018357,827347.5075784368,2,758187.0335675554,784690.5511859371
285,164,802526.4724018357,827347.5075784368,3,756679.2240561128,781831.594089993
285,164,802526.4724018357,827347.5075784368,4,755303.100989455,782071.0493463054
285,164,802526.4724018357,827347.5075784368,5,758361.6392347188,782682.5727409367
285,164,802526.4724018357,827347.5075784368,6,757112.0734724351,780749.8489573202
285,164,802526.4724018357,827347.5075784368,7,756683.5204773828,779747.4316796949
285,164,802526.4724018357,827347.5075784368,8,757753.3170729962,782178.1813627678
285,164,802526.4724018357,827347.5075784368,9,754203.44128461,777805.6711453722
285,164,802526.4724018357,827347.5075784368,10,759343.1856456577,784830.5439670817
