num_vertices,rec_param,alg_sol_cost,minmax_sol_cost,experiment_num,alg_eval_cost,minmax_eval_cost
285,0,802526.4724018357,827347.5075784368,1,754089.8810703779,777769.5356365555
285,0,802526.4724018357,827347.5075784368,2,758458.8380435433,783197.9615613755
285,0,802526.4724018357,827347.5075784368,3,757159.7309459222,781293.9285950847
285,0,802526.4724018357,827347.5075784368,4,755106.8354718965,778792.1506754166
285,0,802526.4724018357,827347.5075784368,5,756877.5951770826,780812.6571159534
285,0,802526.4724018357,827347.5075784368,6,755647.198342804,779698.4436084711
285,0,802526.4724018357,827347.5075784368,7,754387.0432862195,776698.0647721521
285,0,802526.4724018357,827347.5075784368,8,754495.8115580176,777112.2188803783
285,0,802526.4724018357,827347.5075784368,9,758523.0092004733,783113.6400418163
285,0,802526.4724018357,827347.5075784368,10,758898.5007690068,782142.6828048138
285,0,802526.4724018357,827347.5075784368,11,757911.8845962647,781611.9337618465
285,0,802526.4724018357,827347.5075784368,12,754783.0443666071,777596.5488889755
285,0,802526.4724018357,827347.5075784368,13,758374.9953566452,782643.3994383359
285,0,802526.4724018357,827347.5075784368,14,758101.9232242511,781057.3777641046
285,0,802526.4724018357,827347.5075784368,15,757523.3653380296,781327.0230104959
285,0,802526.4724018357,827347.5075784368,16,754995.6358983043,780206.8502451022
285,0,802526.4724018357,827347.5075784368,17,759203.1749395928,782003.4064318101
285,0,802526.4724018357,827347.5075784368,18,753409.6115982491,776197.4567488742
285,0,802526.4724018357,827347.5075784368,19,758670.9684687664,783511.6219063661
285,0,802526.4724018357,827347.5075784368,20,757535.7511775657,780667.9988089056
285,0,802526.4724018357,827347.5075784368,21,757696.3874712287,780574.8080087523
285,0,802526.4724018357,827347.5075784368,22,762637.8694045648,786411.9135896626
285,0,802526.4724018357,827347.5075784368,23,757162.5527844499,781464.1967785117
285,0,802526.4724018357,827347.5075784368,24,760302.1933770666,783973.2365203536
285,0,802526.4724018357,827347.5075784368,25,755428.5152475708,778828.4613936722
285,16,802526.4724018357,827347.5075784368,1,754085.2539511728,779347.6757550932
285,16,802526.4724018357,827347.5075784368,2,754936.203119949,778306.9600892562
285,16,802526.4724018357,827347.5075784368,3,755035.7039259118,781282.4704784304
285,16,802526.4724018357,827347.5075784368,4,755017.9087785411,779885.5725252123
285,16,802526.4724018357,827347.5075784368,5,754937.0221736003,780252.7936477712
285,16,802526.4724018357,827347.5075784368,6,757623.2769748509,783956.9192755789
285,16,802526.4724018357,827347.5075784368,7,758652.8555703885,782138.7235049768
285,16,802526.4724018357,827347.5075784368,8,759414.9555087809,784003.2879716203
285,16,802526.4724018357,827347.5075784368,9,752702.6210449524,776102.1852683816
285,16,802526.4724018357,827347.5075784368,10,756107.8073743526,779067.864735024
285,16,802526.4724018357,827347.5075784368,11,755635.9552258136,779951.190559746
285,16,802526.4724018357,827347.5075784368,12,756572.3585924145,780465.3489852459
285,16,802526.4724018357,827347.5075784368,13,758844.63937423,782614.7528115304
285,16,802526.4724018357,827347.5075784368,14,756360.8390376224,781421.4875624218
285,16,802526.4724018357,827347.5075784368,15,755873.29970259,779976.3342100997
285,16,802526.4724018357,827347.5075784368,16,753306.1743710594,776382.1564427364
285,16,802526.4724018357,827347.5075784368,17,758187.0335675554,784690.5511859371
285,16,802526.4724018357,827347.5075784368,18,756679.2240561128,781831.594089993
285,16,802526.4724018357,827347.5075784368,19,755303.100989455,782071.0493463054
285,16,802526.4724018357,827347.5075784368,20,758361.6392347188,782682.5727409367
285,16,802526.4724018357,827347.5075784368,21,757112.0734724351,780749.8489573202
285,16,802526.4724018357,827347.5075784368,22,756683.5204773828,779747.4316796949
285,16,802526.4724018357,827347.5075784368,23,757753.3170729962,782178.1813627678
285,16,802526.4724018357,827347.5075784368,24,754203.44128461,777805.6711453722
285,16,802526.4724018357,827347.5075784368,25,759343.1856456577,784830.5439670817
285,32,802526.4724018357,827347.5075784368,1,755902.5415542924,780766.4500811301
285,32,802526.4724018357,827347.5075784368,2,753370.6788297575,778221.4944750001
285,32,802526.4724018357,827347.5075784368,3,757886.3311050168,782724.4810846092
285,32,802526.4724018357,827347.5075784368,4,751831.2784008867,777276.3424791633
285,32,802526.4724018357,827347.5075784368,5,757344.7925518585,782706.1581257448
285,32,802526.4724018357,827347.5075784368,6,759097.2527283642,783909.8220864689
285,32,802526.4724018357,827347.5075784368,7,757015.424529406,783276.5080546157
285,32,802526.4724018357,827347.5075784368,8,755630.8490874195,781747.5310926756
285,32,802526.4724018357,827347.5075784368,9,753581.6370397458,777383.696066342
285,32,802526.4724018357,827347.5075784368,10,754783.2007807271,780091.8100640393
285,32,802526.4724018357,827347.5075784368,11,756976.9437576736,779837.4530254022
285,32,802526.4724018357,827347.5075784368,12,753722.0354954797,777606.0137645274
285,32,802526.4724018357,827347.5075784368,13,758824.0837878941,783089.9556886825
285,32,802526.4724018357,827347.5075784368,14,751820.4755813186,777656.3891038618
285,32,802526.4724018357,827347.5075784368,15,757738.6755226977,781752.5492871358
285,32,802526.4724018357,827347.5075784368,16,757836.0927969493,783844.1815564192
285,32,802526.4724018357,827347.5075784368,17,756931.1231097342,782346.0952183423
285,32,802526.4724018357,827347.5075784368,18,751104.4609934691,773028.520708675
285,32,802526.4724018357,827347.5075784368,19,755124.0162830463,779225.1052838919
285,32,802526.4724018357,827347.5075784368,20,756125.1450393455,780739.4144728178
285,32,802526.4724018357,827347.5075784368,21,756750.1851325212,782170.432116321
285,32,802526.4724018357,827347.5075784368,22,756604.37744655,780506.3721333693
285,32,802526.4724018357,827347.5075784368,23,755886.5675319927,780452.5198903687
285,32,802526.4724018357,827347.5075784368,24,757498.290933544,781310.5282690417
285,32,802526.4724018357,827347.5075784368,25,756523.3303799593,780874.4258517275
285,82,802526.4724018357,827347.5075784368,1,753919.6770595335,778156.8261572113
285,82,802526.4724018357,827347.5075784368,2,754244.0669359969,779634.6217189203
285,82,802526.4724018357,827347.5075784368,3,752399.4495660344,776065.9347352462
285,82,802526.4724018357,827347.5075784368,4,755105.0316676439,778685.9244457468
285,82,802526.4724018357,827347.5075784368,5,756710.0012852605,780285.9662117945
285,82,802526.4724018357,827347.5075784368,6,756595.402893878,781071.2078742165
285,82,802526.4724018357,827347.5075784368,7,754172.8906515674,776725.2716411336
