num_vertices,rec_param,λ,alg_sol_cost,hurwicz_sol_cost,experiment_num,alg_eval_cost,hurwicz_eval_cost
285,0,0.1,801800.972422818,792802.8751805364,1,754011.6710469745,754011.6710469745
285,0,0.1,801800.972422818,792802.8751805364,2,758289.529919386,758289.529919386
285,0,0.1,801800.972422818,792802.8751805364,3,757273.411836606,757273.411836606
285,0,0.1,801800.972422818,792802.8751805364,4,754878.8246076345,754878.8246076345
285,0,0.1,801800.972422818,792802.8751805364,5,756854.1787086229,756854.1787086229
285,0,0.1,801800.972422818,792802.8751805364,6,755709.9798064624,755709.9798064624
285,0,0.1,801800.972422818,792802.8751805364,7,754188.6688940064,754188.6688940064
285,0,0.1,801800.972422818,792802.8751805364,8,754578.9978569159,754578.9978569159
285,0,0.1,801800.972422818,792802.8751805364,9,758302.0008471608,758302.0008471608
285,0,0.1,801800.972422818,792802.8751805364,10,758572.7737167359,758572.7737167359
285,0,0.25,801800.972422818,779256.1322314704,1,757587.1922436442,757486.7133025175
285,0,0.25,801800.972422818,779256.1322314704,2,754583.2742758777,754234.3175918884
285,0,0.25,801800.972422818,779256.1322314704,3,758427.8587037893,758383.6419490521
285,0,0.25,801800.972422818,779256.1322314704,4,758187.4742238191,757948.6619447706
285,0,0.25,801800.972422818,779256.1322314704,5,757087.4028804846,757153.7407119272
285,0,0.25,801800.972422818,779256.1322314704,6,755227.9027757461,755118.4311140338
285,0,0.25,801800.972422818,779256.1322314704,7,758791.7077773379,758755.1657719121
285,0,0.25,801800.972422818,779256.1322314704,8,753177.3217355735,753250.1103134049
285,0,0.25,801800.972422818,779256.1322314704,9,758467.6952528348,758349.363389984
285,0,0.25,801800.972422818,779256.1322314704,10,757614.2480443488,757414.0258016586
285,0,0.5,801800.972422818,756641.5654989176,1,757405.4600481696,757530.0191489204
285,0,0.5,801800.972422818,756641.5654989176,2,762562.0045845791,762519.3566813851
285,0,0.5,801800.972422818,756641.5654989176,3,757420.8595254739,757334.8712765019
285,0,0.5,801800.972422818,756641.5654989176,4,760279.9748161393,760103.2279788356
285,0,0.5,801800.972422818,756641.5654989176,5,755586.1850439586,755146.5669022155
285,0,0.5,801800.972422818,756641.5654989176,6,754733.5107311041,754728.5676291613
285,0,0.5,801800.972422818,756641.5654989176,7,756002.0545104921,755582.5336297753
285,0,0.5,801800.972422818,756641.5654989176,8,755565.6525711106,755477.4749473927
285,0,0.5,801800.972422818,756641.5654989176,9,755828.5473613357,755574.1936001794
285,0,0.5,801800.972422818,756641.5654989176,10,755729.575360049,755587.3763273347
285,16,0.1,800991.9518853872,792008.7566968487,1,757623.2769748509,757623.2769748509
285,16,0.1,800991.9518853872,792008.7566968487,2,758652.8555703886,758652.8555703885
285,16,0.1,800991.9518853872,792008.7566968487,3,759414.9555087809,759414.9555087809
285,16,0.1,800991.9518853872,792008.7566968487,4,752702.6210449524,752702.6210449524
285,16,0.1,800991.9518853872,792008.7566968487,5,756107.8073743526,756107.8073743526
285,16,0.1,800991.9518853872,792008.7566968487,6,755635.9552258136,755635.9552258134
285,16,0.1,800991.9518853872,792008.7566968487,7,756572.3585924145,756572.3585924145
285,16,0.1,800991.9518853872,792008.7566968487,8,758844.63937423,758844.63937423
285,16,0.1,800991.9518853872,792008.7566968487,9,756360.8390376224,756360.8390376224
285,16,0.1,800991.9518853872,792008.7566968487,10,755873.29970259,755873.29970259
285,16,0.25,800991.9518853872,778533.9639140405,1,753306.1743710594,753306.1743710594
285,16,0.25,800991.9518853872,778533.9639140405,2,758187.0335675555,758187.0335675555
285,16,0.25,800991.9518853872,778533.9639140405,3,756679.2240561128,756679.2240561128
285,16,0.25,800991.9518853872,778533.9639140405,4,755303.100989455,755303.100989455
285,16,0.25,800991.9518853872,778533.9639140405,5,758361.6392347188,758361.6392347188
285,16,0.25,800991.9518853872,778533.9639140405,6,757112.0734724352,757112.0734724351
285,16,0.25,800991.9518853872,778533.9639140405,7,756683.5204773828,756683.5204773827
285,16,0.25,800991.9518853872,778533.9639140405,8,757753.3170729962,757753.3170729962
285,16,0.25,800991.9518853872,778533.9639140405,9,754203.44128461,754203.44128461
285,16,0.25,800991.9518853872,778533.9639140405,10,759343.1856456577,759343.1856456577
285,16,0.5,800991.9518853872,756075.9759426937,1,755902.5415542925,755902.5415542924
285,16,0.5,800991.9518853872,756075.9759426937,2,753370.6788297575,753370.6788297575
285,16,0.5,800991.9518853872,756075.9759426937,3,757886.3311050168,757886.3311050168
285,16,0.5,800991.9518853872,756075.9759426937,4,751831.2784008867,751831.2784008867
285,16,0.5,800991.9518853872,756075.9759426937,5,757344.7925518585,757344.7925518585
285,16,0.5,800991.9518853872,756075.9759426937,6,759097.2527283642,759097.2527283642
285,16,0.5,800991.9518853872,756075.9759426937,7,757015.424529406,757015.424529406
285,16,0.5,800991.9518853872,756075.9759426937,8,755630.8490874195,755630.8490874193
285,16,0.5,800991.9518853872,756075.9759426937,9,753581.6370397458,753581.6370397458
285,16,0.5,800991.9518853872,756075.9759426937,10,754783.2007807271,754783.2007807271
285,32,0.1,800991.9518853872,792008.7566968487,1,756976.9437576736,756976.9437576736
285,32,0.1,800991.9518853872,792008.7566968487,2,753722.0354954797,753722.0354954797
285,32,0.1,800991.9518853872,792008.7566968487,3,758824.0837878941,758824.0837878941
285,32,0.1,800991.9518853872,792008.7566968487,4,751820.4755813186,751820.4755813186
285,32,0.1,800991.9518853872,792008.7566968487,5,757738.6755226977,757738.6755226977
285,32,0.1,800991.9518853872,792008.7566968487,6,757836.0927969493,757836.0927969493
285,32,0.1,800991.9518853872,792008.7566968487,7,756931.1231097342,756931.1231097342
285,32,0.1,800991.9518853872,792008.7566968487,8,751104.4609934691,751104.4609934691
285,32,0.1,800991.9518853872,792008.7566968487,9,755124.0162830465,755124.0162830465
285,32,0.1,800991.9518853872,792008.7566968487,10,756125.1450393455,756125.1450393455
285,32,0.25,800991.9518853872,778533.9639140405,1,756750.1851325212,756750.1851325212
285,32,0.25,800991.9518853872,778533.9639140405,2,756604.37744655,756604.37744655
285,32,0.25,800991.9518853872,778533.9639140405,3,755886.5675319928,755886.5675319928
285,32,0.25,800991.9518853872,778533.9639140405,4,757498.290933544,757498.290933544
285,32,0.25,800991.9518853872,778533.9639140405,5,756523.3303799593,756523.3303799593
285,32,0.25,800991.9518853872,778533.9639140405,6,753919.6770595335,753919.6770595335
285,32,0.25,800991.9518853872,778533.9639140405,7,754244.066935997,754244.066935997
285,32,0.25,800991.9518853872,778533.9639140405,8,752399.4495660344,752399.4495660344
285,32,0.25,800991.9518853872,778533.9639140405,9,755105.0316676439,755105.0316676439
285,32,0.25,800991.9518853872,778533.9639140405,10,756710.0012852607,756710.0012852607
285,32,0.5,800991.9518853872,756075.9759426937,1,756595.402893878,756595.402893878
285,32,0.5,800991.9518853872,756075.9759426937,2,754172.8906515674,754172.8906515674
285,32,0.5,800991.9518853872,756075.9759426937,3,756804.8049743569,756804.8049743569
285,32,0.5,800991.9518853872,756075.9759426937,4,756449.0233869137,756449.0233869137
285,32,0.5,800991.9518853872,756075.9759426937,5,757820.9000021096,757820.9000021096
285,32,0.5,800991.9518853872,756075.9759426937,6,758475.1399303359,758475.1399303359
285,32,0.5,800991.9518853872,756075.9759426937,7,759554.2478502991,759554.2478502991
285,32,0.5,800991.9518853872,756075.9759426937,8,756766.7199618411,756766.7199618411
285,32,0.5,800991.9518853872,756075.9759426937,9,752158.6279150662,752158.6279150662
285,32,0.5,800991.9518853872,756075.9759426937,10,754625.2683749356,754625.2683749356
