num_vertices,rec_param,alg_sol_cost,minmax_sol_cost,experiment_num,alg_eval_cost,minmax_eval_cost
285,16,795737.1334358111,815882.1661564315,1,752319.8696640044,773038.0573892714
285,16,795737.1334358111,815882.1661564315,2,751199.2309004208,771173.9662720371
285,16,795737.1334358111,815882.1661564315,3,754664.2002060686,773669.9625603319
285,16,795737.1334358111,815882.1661564315,4,752315.8449319248,771210.1805954832
285,16,795737.1334358111,815882.1661564315,5,752565.3345594704,771744.31335251
285,32,792901.2699066396,815882.1661564315,1,749370.1222587498,770946.4935697945
285,32,792901.2699066396,815882.1661564315,2,749691.3229517106,772831.0090949503
285,32,792901.2699066396,815882.1661564315,3,749866.4433150846,771719.4036793287
285,32,792901.2699066396,815882.1661564315,4,750564.3979798277,772878.6647205694
285,32,792901.2699066396,815882.1661564315,5,746849.4067411711,768617.8093748026
285,82,792901.2699066396,815882.1661564315,1,752979.7950067712,775461.7471959796
285,82,792901.2699066396,815882.1661564315,2,750291.8479647882,772368.061813449
285,82,792901.2699066396,815882.1661564315,3,748763.388691023,772094.0969280938
285,82,792901.2699066396,815882.1661564315,4,749986.5674496514,771233.0872775695
285,82,792901.2699066396,815882.1661564315,5,752727.5350981846,775512.703021625
