Origin,Destination,Duration
AAL,STN,100
AAR,STN,95
AAR,GDN,65
ABZ,AGP,205
ABZ,ALC,195
ABZ,FAO,205
AGA,STN,225
AGA,MRS,180
AGA,NRN,240
AGA,CRL,220
AGA,MAN,225
AHO,STN,145
AHO,BLQ,70
AHO,BTS,115
AHO,CRL,115
AHO,BGY,75
AHO,PSA,70
ALC,VXO,210
ALC,ORK,160
ALC,LTN,150
ALC,KRK,200
ALC,CRL,140
ALC,BGY,130
ALC,KIR,165
ALC,WRO,190
ALC,DUB,170
ALC,BHX,155
ALC,STN,155
ALC,NRN,160
ALC,BRU,145
ALC,MXP,130
ALC,BRS,145
ALC,SCQ,90
ALC,GLA,185
ALC,BRE,175
ALC,FRA,160
ALC,NQY,145
ALC,PED,170
ALC,EIN,150
ALC,KUN,230
ALC,FKB,145
ALC,GDN,220
ALC,SVQ,70
ALC,MRS,95
ALC,BLQ,130
ALC,LPL,165
ALC,BLL,195
ALC,POZ,195
ALC,LGW,150
ALC,MAN,160
ALC,VST,235
ALC,NCL,175
ALC,WMI,215
ALC,BVA,129
ALC,MST,155
ALC,GOT,210
ALC,CGN,160
ALC,FMM,145
ALC,NUE,150
ALC,SNN,160
ALC,OPO,95
ALC,LBA,165
ALC,EDI,190
ALC,TRF,220
ALC,CPH,205
ALC,HAU,215
ALC,HAM,180
ALC,PIK,175
ALC,NOC,180
ALC,BOH,150
ALC,EMA,155
LEI,STN,165
LEI,CRL,160
LEI,MAN,170
LEI,DUB,175
AMM,OTP,160
AMM,BLQ,215
AMM,BRU,275
AMM,PRG,230
AMM,MLA,195
AMM,WMI,245
AMM,BGY,230
AMM,VIE,220
AMM,PFO,75
AMM,BUD,205
AMS,AGP,190
AMS,DUB,105
AOI,CRL,105
AOI,STN,135
AOI,NRN,110
AQJ,CIA,215
AQJ,CGN,285
ATH,LTN,235
ATH,KRK,140
ATH,CRL,190
ATH,BGY,145
ATH,KBP,160
ATH,WRO,100
ATH,DUB,255
ATH,STN,210
ATH,KTW,145
ATH,FRA,170
ATH,CTA,105
ATH,BLQ,135
ATH,JTR,50
ATH,WMI,160
ATH,BUD,120
ATH,MLA,105
ATH,VNO,180
BNX,CRL,120
BNX,FMM,75
BCN,LTN,125
BCN,KRK,165
BCN,CRL,115
BCN,VGO,100
BCN,BGY,95
BCN,PMI,50
BCN,AGP,100
BCN,KBP,230
BCN,DUB,145
BCN,BHX,130
BCN,STN,130
BCN,BRU,120
BCN,SCQ,105
BCN,NAP,120
BCN,RAK,150
BCN,FRA,130
BCN,VIE,145
BCN,LUX,115
BCN,SDR,80
BCN,TFS,205
BCN,TFN,205
BCN,SVQ,100
BCN,BLQ,105
BCN,LPL,160
BCN,LPA,200
BCN,MAN,140
BCN,VCE,115
BCN,WMI,190
BCN,MAH,55
BCN,FCO,115
BCN,BVA,105
BCN,GOT,185
BCN,SOF,185
BCN,CGN,130
BCN,IBZ,55
BCN,NDR,110
BCN,VLL,80
BCN,FUE,190
BCN,BUD,155
BCN,OPO,105
BCN,EDI,160
BCN,PRG,145
BCN,MLA,125
BCN,FEZ,120
BCN,HAM,155
BCN,PIK,170
BCN,XRY,105
BCN,EMA,140
BCN,VNO,210
BCN,TRN,85
GRO,ORK,135
GRO,KRK,160
GRO,CRL,110
GRO,PSR,110
GRO,WRO,150
GRO,DUB,145
GRO,STN,130
GRO,NRN,130
GRO,BRU,115
GRO,BRS,130
GRO,RIX,205
GRO,FKB,110
GRO,HHN,110
GRO,POZ,150
GRO,BVA,100
GRO,FMM,105
GRO,LBA,140
GRO,PSA,85
GRO,BOH,115
REU,STN,135
REU,LPL,145
REU,ORK,140
REU,CRL,125
REU,MAN,145
REU,EIN,135
REU,EMA,135
REU,SNN,155
REU,GDN,185
REU,DUB,155
REU,BHX,135
BRI,CRL,135
BRI,BGY,90
BRI,DUB,205
BRI,STN,175
BRI,NRN,145
BRI,FKB,115
BRI,VLC,145
BRI,HHN,130
BRI,SVQ,175
BRI,BLQ,75
BRI,FCO,65
BRI,MAD,170
BRI,BVA,140
BRI,MST,135
BRI,NUE,115
BRI,GOA,85
BRI,BUD,90
BRI,PRG,115
BRI,MLA,75
BRI,CAG,80
BRI,PSA,85
BRI,BOD,150
BRI,TRS,75
BRI,TRN,95
BSL,DUB,125
EGC,STN,100
EGC,LPL,105
EGC,CRL,85
BZR,BVA,90
BZR,STN,115
BZR,NRN,100
BZR,EDI,145
BZR,MAN,125
BIQ,CRL,100
BIQ,STN,115
BIQ,DUB,125
BLL,STN,95
BLL,EDI,100
BLL,PRG,90
BLL,MLA,200
BLL,POZ,75
BLL,BGY,120
BLL,PMI,175
BLL,AGP,215
BLL,PSA,135
BLL,BUD,125
BHX,KRK,160
BHX,BTS,155
BHX,LPA,265
BHX,WMI,165
BHX,PGF,120
BHX,MAD,140
BHX,PMI,140
BHX,AGP,180
BHX,SOF,210
BHX,ACE,255
BHX,IBZ,150
BHX,FUE,255
BHX,DUB,70
BHX,CFU,195
BHX,OPO,140
BHX,KTW,160
BHX,MLA,195
BHX,RMU,165
BHX,FAO,170
BHX,BZG,145
BHX,TFS,270
BHX,VNO,170
BHX,GDN,130
BHX,VRN,120
BJV,DUB,280
BLQ,CRV,95
BLQ,LTN,130
BLQ,KRK,105
BLQ,CRL,95
BLQ,PMI,105
BLQ,AGP,155
BLQ,RHO,160
BLQ,WRO,100
BLQ,DUB,165
BLQ,STN,120
BLQ,OTP,130
BLQ,VIE,80
BLQ,PMO,90
BLQ,SKG,115
BLQ,CTA,100
BLQ,EIN,95
BLQ,SUF,90
BLQ,TFS,265
BLQ,VLC,115
BLQ,MRS,75
BLQ,SVQ,160
BLQ,LPA,265
BLQ,MAN,145
BLQ,WMI,125
BLQ,MAD,135
BLQ,BVA,95
BLQ,CGN,90
BLQ,ACE,245
BLQ,IBZ,115
BLQ,TPS,95
BLQ,BDS,85
BLQ,OPO,160
BLQ,EDI,165
BLQ,PRG,80
BLQ,MLA,110
BLQ,CPH,130
BLQ,LIS,170
BLQ,CAG,80
BLQ,BOD,110
BOD,VLC,85
BOD,MRS,75
BOD,SVQ,110
BOD,ORK,110
BOD,KRK,160
BOD,CRL,90
BOD,MAN,105
BOD,BGY,100
BOD,DUB,110
BOD,TNG,120
BOD,STN,105
BOD,OPO,95
BOD,EDI,125
BOD,NAP,125
BOD,FEZ,130
BOD,RAK,155
BOD,LIS,110
BOD,TSF,110
BOH,KRK,160
BOH,LPA,245
BOH,RMU,145
BOH,FAO,155
BOH,PMI,135
BOH,AGP,155
BOH,TFS,250
BOH,DUB,80
BTS,DLM,155
BTS,CRL,110
BTS,MAN,150
BTS,BGY,85
BTS,PMI,150
BTS,KBP,115
BTS,DUB,165
BTS,STN,130
BTS,LBA,145
BTS,EDI,160
BTS,MLA,134
BTS,SKG,100
BTS,EIN,105
BTS,CIA,100
BTS,PFO,170
BRE,PMI,150
BRE,AGP,200
BRE,STN,80
BRE,OPO,175
BRE,ZAD,115
BRE,VNO,109
BES,MRS,110
BDS,CRL,150
BDS,MAN,185
BDS,BGY,95
BDS,FCO,75
BDS,BVA,145
BDS,STN,170
BDS,FRA,135
BDS,VIE,90
BDS,EIN,145
BDS,TSF,85
BDS,PSA,85
BDS,VRN,85
BDS,TRN,100
BRS,KRK,160
BRS,BGY,120
BRS,PMI,135
BRS,AGP,170
