num_vertices,rec_param,alg_sol_cost,minmax_sol_cost,experiment_num,alg_eval_cost,minmax_eval_cost
201,0,44477.99289043682,60249.727729424005,1,41928.168931933826,57315.83885978873
201,0,44477.99289043682,60249.727729424005,2,41798.5206202776,57099.41222640391
201,0,44477.99289043682,60249.727729424005,3,41903.16196326274,57108.882114341184
201,0,44477.99289043682,60249.727729424005,4,41971.62424831524,57076.74011875272
201,0,44477.99289043682,60249.727729424005,5,41994.27186134801,57256.20278114615
201,0,44477.99289043682,60249.727729424005,6,41900.716817197805,57213.97671865115
201,0,44477.99289043682,60249.727729424005,7,42150.58327968847,57560.7142031754
201,0,44477.99289043682,60249.727729424005,8,42201.21040316789,57400.345409859474
201,0,44477.99289043682,60249.727729424005,9,42078.38293800389,57237.516654810475
201,0,44477.99289043682,60249.727729424005,10,41977.38097320049,57062.829845365944
201,72,44477.99289043682,60249.727729424005,1,41536.66080315544,57303.78709553894
201,72,44477.99289043682,60249.727729424005,2,41586.85983420491,57476.751335147645
201,72,44477.99289043682,60249.727729424005,3,41529.01270155015,57751.15400424977
201,72,44477.99289043682,60249.727729424005,4,41545.715375061336,57173.52408690981
201,72,44477.99289043682,60249.727729424005,5,41447.31299740874,57531.34265888337
201,72,44477.99289043682,60249.727729424005,6,41525.534643072584,57334.604309921764
201,72,44477.99289043682,60249.727729424005,7,41613.35577818284,57309.64503402041
201,72,44477.99289043682,60249.727729424005,8,41437.169492753055,57021.76342707987
201,72,44477.99289043682,60249.727729424005,9,41499.30429018685,57248.21953623108
201,72,44477.99289043682,60249.727729424005,10,41684.81918014081,57313.02984231885
201,144,44477.99289043682,60249.727729424005,1,41530.9730603431,57079.490999431604
201,144,44477.99289043682,60249.727729424005,2,41483.17949122312,57280.941355611525
201,144,44477.99289043682,60249.727729424005,3,41538.81696509857,57125.909808608405
201,144,44477.99289043682,60249.727729424005,4,41468.70377701894,57142.21929187954
201,144,44477.99289043682,60249.727729424005,5,41662.9316957578,57180.59460090532
201,144,44477.99289043682,60249.727729424005,6,41500.66028749461,57549.071411099576
201,144,44477.99289043682,60249.727729424005,7,41522.410670137884,57022.10607418111
201,144,44477.99289043682,60249.727729424005,8,41491.49478274514,57239.2237428779
201,144,44477.99289043682,60249.727729424005,9,41586.322789834565,57172.40068553998
201,144,44477.99289043682,60249.727729424005,10,41436.607114018174,57047.6029154542
201,362,44477.99289043682,60249.727729424005,1,41514.423029359255,57296.82127906493
201,362,44477.99289043682,60249.727729424005,2,41651.164491666066,57081.093833596206
201,362,44477.99289043682,60249.727729424005,3,41613.52067153648,57199.163314218116
201,362,44477.99289043682,60249.727729424005,4,41352.64390359129,56939.902546487334
201,362,44477.99289043682,60249.727729424005,5,41351.34162114429,56877.77832102147
201,362,44477.99289043682,60249.727729424005,6,41432.04203237915,57142.637707450354
201,362,44477.99289043682,60249.727729424005,7,41529.380926104655,57070.116479705204
201,362,44477.99289043682,60249.727729424005,8,41678.22346032525,57403.66747491712
201,362,44477.99289043682,60249.727729424005,9,41774.026839314734,57473.08621127086
201,362,44477.99289043682,60249.727729424005,10,41457.83790553033,57316.31662337375
201,724,44477.99289043682,60249.727729424005,1,41535.98808753443,57143.48167142838
201,724,44477.99289043682,60249.727729424005,2,41790.60159063052,57320.21660426538
201,724,44477.99289043682,60249.727729424005,3,41510.798938932436,56939.92348214794
201,724,44477.99289043682,60249.727729424005,4,41611.57794418142,57294.32622032402
201,724,44477.99289043682,60249.727729424005,5,41552.170403915945,57356.66002710466
201,724,44477.99289043682,60249.727729424005,6,41481.56652433709,57177.062163464085
201,724,44477.99289043682,60249.727729424005,7,41485.165630385294,56979.47447949543
201,724,44477.99289043682,60249.727729424005,8,41593.12572551564,57341.77936774961
201,724,44477.99289043682,60249.727729424005,9,41677.457528520885,57373.90517091347
201,724,44477.99289043682,60249.727729424005,10,41494.91416494114,57171.90583021023
